ID_REGIAO;DISTRITO;Populaçãototal;Populaçãopretaeparda;Populaçãofeminina;PopulaçãoInfantil;Populaçãojovem;Densidadedomiciliar;Favelas;Ofertadeempregoformal;Remuneraçãomédiamensaldoempregoformal;ProporçãodeImpostosobreserviçoISSarrecadado;Acessoatransportedemassa;Acessoainfraestruturacicloviária;Ocorrênciasdetrânsito;Mortesnotrânsito;AcessointernetMapeamentodasantenasáreakm;AcessointernetMapeamentodasantenasPopulaçãodistrito;Violênciacontraamulhertodas;Violênciacontraamulherfeminicídio;ViolênciaLGBTQIAP+;Violênciaracial;Homicídiosdejovens;Agressõesporintervençãopolicial;Mortesporintervençãopolicial;Idademédiaaomorrer;MortalidadeporCovid19;Gravideznaadolescência;Mortalidadematerna;Mortalidadeinfantil;Mortalidadepordoençasdoaparelhocirculatório;Mortalidadepordoençasdoaparelhorespiratório;TempomédioparaconsultasnaAtençãoBásica;TempomédioparaconsultasnaAtençãoEspecializada;Tempomédiopararealizaçãodeexamesespecializados;TempomédioemdiasparaConsultascomPsiquiatras;ICSAP–InternaçõesporCondiçõesSensíveisàAtençãoPrimária;CoberturaestimadaAtençãoBásica;CoberturaestimadaESF;Tempodeatendimentoparavagaemcreche;MatrículasnoEnsinoBásicoemescolaspúblicas;DistorçãoIdadeSérienoEnsinoFundamentaldaredemunicipal;AbandonoescolarnoEnsinoFundamentaldaredemunicipal;ÍndicedoNívelSocioeconômicodasEscolasINSE;Centrosculturais,casaseespaçosdecultura;Equipamentospúblicosdecultura;Cinemas;Museus;Teatros;Espaçosculturaisindependentes;Ocupaçõesculturais;EquipamentosculturaiscomWiFi;Equipamentospúblicosdeesporte
1;Água Rasa;82.564;13.8;53.6;7.7;32.6;2.9;0.1;5.1;2.868;0.24;6.7;36.4;11.9;8.5;6;5.2;250.9;1.65;1.21;0.48;13.5;0;0.4;75.1;16.4;4.9;34.4;5.3;125.9;16.8;45;48;40;41;20.76;44.9;0.1;68;71;10.3;0.05;5.5;0;2.42;0;0;0;0;0;0.12;0.2
12;Alto de Pinheiros;40.962;8.1;54.7;5.5;27.2;2.7;0;4.7;4.282;0.7;22;31.3;8.3;4.9;6.7;12.2;138.9;0;4.88;0.73;0;0;0.8;80.9;13.8;1.4;0;0;57.1;0;não aplicável;não aplicável;não aplicável;não aplicável;5.22;15.4;3.2;96;11.4;não aplicável;não aplicável;5.26;0;2.44;0;0;0;4.9;0;0;0
23;Anhanguera;84.719;50.3;50.8;9.8;47.2;3;3.9;0.4;4.155;0.07;0;0;5.9;11.8;0.5;2.1;158.7;0;0;0.59;17.9;0;1.6;58.6;18.6;10;96;11.5;60.9;17.4;34;36;36;não aplicável;12.78;99.3;69;81;92.9;7.2;0;5.05;0;3.54;0;0;0;0;0;0.12;0.4
34;Aricanduva;85.868;27.5;52.6;8.1;37.4;3.1;1.1;2.9;2.610;0.07;0;53.3;9.8;8.2;4;3.3;262;0;2.33;4.19;5.5;0;1.9;70.5;17.9;8.3;59;11.9;191.2;42.5;27;41;33;154;30.78;83.4;47.5;75;77.5;10;0.04;5.27;0;1.16;0;0;0;0;0;0.12;0.3
45;Artur Alvim;100.462;37.1;53.1;8.2;37.7;2.9;7.3;0.8;2.075;0.05;21.5;48.8;9.9;7;4;2.6;270.4;0;2.99;1.69;4.6;0;1.7;68.6;20.4;10.2;112.2;12.2;155.2;21.7;39;43;35;65;28.05;73.8;40.6;52;76.9;7;0.02;5.21;0;1;0;0;0;1;0;0;0.8
56;Barra Funda;16.115;15.7;54.4;8.7;33;2.5;1.1;65.1;4.298;1.65;31.8;76.3;21.1;24.8;11.6;42.2;555.8;0;0;11.79;75.6;0;6.3;73.6;16.3;1.7;87;2.8;150.2;0;não aplicável;não aplicável;88;não aplicável;26.91;43.1;0.3;30;63.1;não aplicável;não aplicável;5.19;0;0;0;0;0;18.6;0;0;1.2
67;Bela Vista;73.235;21.6;52.2;7.8;27.3;2.2;0;23.4;4.682;4.62;54.7;54;7.8;1.4;45.3;16.8;257.8;0;9.56;4.51;9.4;0.9;0.5;74.1;16.1;4;102.1;9.4;80;4.4;30;28;29;18;17.69;26.6;16.8;27;57.7;6.2;0;4.86;0.14;1.37;0;0;0;19.1;0;0.14;0
78;Belém;49.213;24.7;51.7;11.3;37.7;3.1;3.8;12.8;4.732;0.29;34.7;44;17.3;4.1;5.3;6.5;259.5;2.19;0;3.25;23.4;0.7;2;70.5;19.1;7.7;179.5;11.7;37.8;22.7;30;42;33;49;27.44;56.3;35.6;90;63.8;11;0;5.03;0;0;0;0;0;6.1;6.1;0;0.4
89;Bom Retiro;38.877;31.4;51.4;10.5;39.8;3;2.9;22.5;3.604;0.2;58.7;86.4;24.2;10.3;12.1;13.1;363.2;0;5.14;5.92;0;8.7;0.9;69.3;21.4;9.7;0;2.1;78.1;9.8;21;41;45;42;28.51;57.9;55.7;40;71.2;não aplicável;não aplicável;4.73;0;5.14;0;1.29;0;15.4;0;0;0.8
2;Brás;33.045;33.5;50.3;11.6;40;2.8;0.2;19.8;2.792;0.16;71.4;73.1;23;6.1;12.7;13.9;597.4;3.08;9.08;6.05;30.6;3.1;11.2;64.3;20.1;6.9;207.7;10.8;55.8;55.8;24;42;5;41;43.84;56.4;34.3;115;18.5;não aplicável;não aplicável;4.84;0;0;0;0;0;0;0;0;0
